"GEOID","population","percent_female","percent_white","population_under_15","daycares_3sfca","daycare_3sfca","TRACTCE","COUNTYFP"
511850210003,464,53.8793103448276,100,69,2.51761120863823,2.51761120863823,"51185021000","51185"
511850210004,940,52.8723404255319,96.9148936170213,94,2.55171337637425,2.55171337637425,"51185021000","51185"
511850211001,1064,57.0488721804511,94.4548872180451,157,4.68366484432981,4.68366484432981,"51185021100","51185"
511850211002,1323,43.6885865457294,92.8193499622071,243,4.69833688506673,4.69833688506673,"51185021100","51185"
511850211003,1269,51.8518518518518,88.6524822695035,135,2.88418986161591,2.88418986161591,"51185021100","51185"
511850211004,1318,46.6616084977238,90.9711684370258,123,5.50657559184026,5.50657559184026,"51185021100","51185"
511870201001,3707,48.044240625843,96.4121931480982,890,1.28543609655303,1.28543627148478,"51187020100","51187"
511870201002,2248,43.6387900355872,89.991103202847,272,1.23936644562774,1.23936672367942,"51187020100","51187"
511870201003,3054,52.324819908317,97.773411918795,627,2.29910923945006,2.29911078850969,"51187020100","51187"
511870202001,1575,47.6825396825397,94.6031746031746,230,2.22375111931805,2.22375112895917,"51187020200","51187"
511870202002,339,47.787610619469,93.2153392330383,87,2.06188232639981,2.06188249544673,"51187020200","51187"
511870202003,968,47.004132231405,98.0371900826446,96,1.47545574567762,1.4754557919461,"51187020200","51187"
511870203001,830,51.9277108433735,71.0843373493976,189,2.49864468869541,2.49864484407574,"51187020300","51187"
511870203002,1585,47.7602523659306,91.5457413249211,415,2.34378794878154,2.34378809016817,"51187020300","51187"
511870203003,1476,50.8807588075881,100,307,2.48046148190929,2.48046151854043,"51187020300","51187"
511870203004,1424,49.438202247191,97.2612359550562,159,1.72200538439388,1.72200538876862,"51187020300","51187"
511870203005,1454,49.7248968363136,95.2544704264099,140,2.6594532156712,2.65945326093222,"51187020300","51187"
511870204001,852,56.924882629108,78.4037558685446,163,2.6667865357085,2.6667867252425,"51187020400","51187"
511870204002,706,44.7592067988669,74.6458923512748,162,2.6246997738616,2.62469997977322,"51187020400","51187"
511870204003,927,48.7594390507012,68.2847896440129,99,2.59555139231202,2.59555154937937,"51187020400","51187"
511870204004,1911,57.9277864992151,80.7430664573522,464,2.74457295139731,2.74457315002554,"51187020400","51187"
511870204005,588,52.891156462585,98.9795918367347,212,2.76926211274545,2.76926232566048,"51187020400","51187"
511870205001,1090,56.605504587156,65.9633027522936,215,2.60045784779286,2.60045803664215,"51187020500","51187"
511870205002,896,42.2991071428571,76.3392857142857,99,2.75577799046172,2.75577823635204,"51187020500","51187"
511870205003,1253,46.2090981644054,68.7150837988827,224,2.74456134952066,2.74456159911192,"51187020500","51187"
511870205004,1032,51.2596899224806,64.2441860465116,185,2.77777114328322,2.77777149230882,"51187020500","51187"
511870206011,1725,49.6811594202899,94.0869565217391,299,1.99535769537985,1.99535899573283,"51187020601","51187"
511870206012,3069,57.5757575757576,82.3395242750081,677,2.656390929725,2.65639147883743,"51187020601","51187"
511870206013,1068,58.9887640449438,92.0411985018727,115,2.78138388165789,2.78138415753028,"51187020601","51187"
511870206021,1368,43.7134502923977,90.9356725146199,235,2.60782576289088,2.60782593238562,"51187020602","51187"
511870206022,1182,48.3925549915398,96.7005076142132,260,2.67231757259907,2.67231762395168,"51187020602","51187"
511870207001,1913,50.1829587036069,100,239,1.84234060198859,1.84234061039333,"51187020700","51187"
511870207002,1252,46.4856230031949,95.8466453674121,147,1.99430135990074,1.9943013657217,"51187020700","51187"
511910101001,1202,53.7437603993344,96.6722129783694,198,2.95079483568342,2.95079483568342,"51191010100","51191"
511910101002,2101,50.0713945740124,97.4297953355545,206,4.3829166652675,4.3829166652675,"51191010100","51191"
511910101003,2720,53.7867647058823,93.2720588235294,360,4.09743989514552,4.09743989514552,"51191010100","51191"
511910102001,2227,54.1984732824427,97.5752132914234,423,4.047800650953,4.047800650953,"51191010200","51191"
511910102002,1852,49.7840172786177,100,194,4.19979997111678,4.19979997111678,"51191010200","51191"
511910102003,618,53.2362459546925,100,28,3.34302663412581,3.34302663412581,"51191010200","51191"
511910103001,1590,50.503144654088,100,166,1.50756708144943,1.50756708144943,"51191010300","51191"
511910103002,1673,49.1930663478781,95.1583980872684,145,2.05284438600172,2.05284438600172,"51191010300","51191"
511910103003,1624,44.5812807881773,96.6748768472906,327,2.00686946878742,2.00686946878742,"51191010300","51191"
511910103004,1419,43.7632135306554,100,200,1.86528174058023,1.86528174058023,"51191010300","51191"
511910104011,1646,55.0425273390036,94.3499392466586,216,4.04584242330293,4.04584242330293,"51191010401","51191"
511910104012,1020,53.1372549019608,95.9803921568627,223,2.99271603652825,2.99271603652825,"51191010401","51191"
511910104021,1590,46.7295597484277,97.1698113207547,207,3.58996569538882,3.58996569538882,"51191010402","51191"
511910104022,1474,54.3419267299864,98.3717774762551,232,3.87180593834617,3.87180593834617,"51191010402","51191"
511910105011,1486,47.8465679676985,98.7886944818304,179,3.5439020494811,3.5439020494811,"51191010501","51191"
511910105012,1609,52.2684897451833,94.0335612181479,134,3.73156345777982,3.73156345777982,"51191010501","51191"
511910105013,1050,53.5238095238095,93.2380952380952,111,3.52979423825956,3.52979423825956,"51191010501","51191"
511910105021,1777,40.686550365785,87.1693866066404,220,3.47162320623733,3.47162320623733,"51191010502","51191"
511910105022,923,50.0541711809317,96.6413867822318,212,3.93436793721181,3.93436793721181,"51191010502","51191"
511910105023,1226,53.4257748776509,97.8792822185971,147,4.1028367619947,4.1028367619947,"51191010502","51191"
511910106011,1149,52.7415143603133,90.9486510008703,140,2.98943171643358,2.98943171643358,"51191010601","51191"
511910106012,1296,50.6944444444444,91.5895061728395,218,3.41085811316464,3.41085811316464,"51191010601","51191"
511910106013,1596,49.749373433584,98.8095238095238,174,3.28075118479707,3.28075118479707,"51191010601","51191"
511910106021,1426,46.2833099579243,86.6058906030856,46,2.69667408397562,2.69667408397562,"51191010602","51191"
511910106022,1392,50.2873563218391,97.3419540229885,178,2.84508027639567,2.84508027639567,"51191010602","51191"
511910107001,1221,55.2825552825553,100,250,1.3679311159043,1.3679311159043,"51191010700","51191"
511910107002,1820,50.1648351648352,92.1428571428571,411,2.60698932773016,2.60698932773016,"51191010700","51191"
511910107003,1752,55.87899543379,90.9817351598174,323,3.07342241190853,3.07342241190853,"51191010700","51191"
511910108001,2253,52.6853084775854,98.2245894363071,382,3.00435084881652,3.00435084881652,"51191010800","51191"
511910108002,1325,49.5849056603774,95.2452830188679,258,1.60524921412496,1.60524921412496,"51191010800","51191"
511910109001,1938,50.7223942208462,97.9360165118679,344,3.44663764236212,3.44663764236212,"51191010900","51191"
511910109002,1443,48.7872487872488,98.960498960499,263,2.37466899158378,2.37466899158378,"51191010900","51191"
511910109003,1085,54.8387096774194,98.9861751152074,223,2.15537448481678,2.15537448481678,"51191010900","51191"
511910110001,2045,53.5452322738386,98.5330073349633,305,2.0150438682925,2.0150438682925,"51191011000","51191"
511910110002,1503,49.6340652029275,100,269,3.26532901545425,3.26532901545425,"51191011000","51191"
511930101001,1087,56.1177552897884,50.689972401104,44,15.2819745269076,15.2819745269281,"51193010100","51193"
511930101002,1065,54.4600938967136,76.150234741784,138,5.17651303733109,5.17651303733813,"51193010100","51193"
511930101003,637,45.5259026687598,53.5321821036107,46,5.23577450849324,5.2357745085263,"51193010100","51193"
511930101004,208,46.6346153846154,58.1730769230769,47,2.96420956096238,2.96420956098076,"51193010100","51193"
511930101005,850,48.8235294117647,45.0588235294118,118,5.02695656264201,5.02695656294142,"51193010100","51193"
511930101006,714,46.078431372549,33.7535014005602,101,4.71062429563703,4.71062429632533,"51193010100","51193"
511930102001,1634,47.2460220318237,87.0257037943696,291,3.57363127239974,3.57363128103391,"51193010200","51193"
511930102002,882,49.7732426303855,53.968253968254,195,5.45617604613865,5.45617604751179,"51193010200","51193"
511930102003,914,57.1115973741794,38.8402625820569,41,7.52484813027401,7.52484813077203,"51193010200","51193"
511930103001,1868,52.4625267665953,80.2997858672377,276,2.53354099927096,2.53354113157599,"51193010300","51193"
511930103002,1858,36.3832077502691,62.0021528525296,340,1.64138518294008,1.64138519793437,"51193010300","51193"
511930104001,819,52.1367521367521,54.0903540903541,231,2.55527138546372,2.55527164245227,"51193010400","51193"
511930104002,1552,43.1056701030928,90.3994845360825,204,2.44772046129187,2.44772052275638,"51193010400","51193"
511930104003,1168,53.2534246575342,72.3458904109589,260,2.56283233671521,2.56283262716263,"51193010400","51193"
